nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,207,676,674,41,34,37,15,0,1,0,0,1,0,0,17
1,292,376,688,149,88,14,48,4,10,11,3,6,2,0,12
2,1082,21,37,161,28,92,111,5,14,10,7,25,22,3,85
10,5,420,468,653,148,0,2,3,3,1,0,0,0,0,0
20,45,238,291,295,272,76,137,31,66,99,72,72,0,3,6
30,44,58,77,214,353,49,189,65,32,481,90,41,0,0,10
40,63,546,7,356,536,43,13,18,28,14,7,1,0,0,71
50,24,47,62,266,120,50,210,30,88,462,243,71,10,19,1
60,39,57,101,525,520,159,64,39,33,76,61,16,5,0,8
70,21,4,1,116,165,60,265,47,60,513,297,113,3,36,2
80,0,10,315,98,50,42,43,12,12,216,474,217,152,59,3
90,4,0,4,14,38,13,103,14,33,614,660,97,39,12,58
91,2,0,2,2,0,5,50,0,3,26,192,159,382,797,83
92,0,3,0,2,3,4,29,1,10,18,61,60,176,1248,88
100,0,5,7,9,3,1,49,1,0,1,40,8,125,238,1216
