nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,233,669,656,21,22,8,57,0,11,0,1,5,0,2,18
1,319,471,579,112,52,21,73,9,37,1,6,9,1,3,10
2,975,30,63,46,12,194,102,3,102,4,6,46,8,3,109
10,15,479,322,565,228,25,20,9,15,0,5,19,0,0,1
20,54,182,329,246,229,167,109,27,135,64,133,19,2,1,6
30,58,32,81,162,200,231,211,117,115,368,55,59,1,2,11
40,42,61,76,242,122,954,20,2,107,1,0,5,0,2,69
50,28,42,40,137,54,210,190,98,142,418,138,167,18,5,16
60,79,205,113,392,107,95,537,0,101,0,3,28,0,0,43
70,13,6,2,84,62,193,194,147,138,450,128,187,53,40,6
80,1,4,328,51,31,85,67,3,22,227,357,174,315,33,5
90,2,0,1,17,12,115,40,25,54,670,260,394,44,3,66
91,0,0,0,0,0,13,22,4,26,25,71,220,802,306,214
92,0,1,0,2,2,7,14,1,32,7,20,42,358,949,268
100,0,0,2,3,1,6,10,3,13,0,4,9,105,99,1448
