nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,373,579,653,1,56,7,3,1,3,0,0,2,0,0,25
1,415,525,503,42,112,28,10,9,27,5,3,4,1,0,19
2,1189,70,5,211,28,70,14,0,20,0,0,2,0,2,92
10,52,1012,3,538,80,1,1,3,13,0,0,0,0,0,0
20,101,410,113,150,308,96,41,101,234,71,31,29,1,2,15
30,133,123,26,222,204,95,35,391,196,184,30,53,0,0,11
40,309,304,0,478,314,141,3,37,51,4,0,4,0,1,57
50,70,66,76,189,67,63,64,281,392,272,106,35,11,9,2
60,329,370,0,277,306,294,8,4,28,2,0,55,0,0,30
70,49,6,0,122,61,111,80,326,345,317,79,125,39,39,4
80,1,156,181,51,69,68,17,65,101,338,237,113,232,70,4
90,12,6,0,46,30,51,32,192,192,640,256,124,41,13,68
91,1,2,0,3,0,6,40,7,27,34,160,141,410,786,86
92,0,1,0,3,1,17,20,2,16,9,13,74,200,1258,89
100,3,19,0,4,4,3,15,0,8,2,10,6,123,327,1179
