nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,239,405,940,19,29,5,23,0,19,0,0,3,0,0,21
1,301,147,947,99,81,11,50,11,28,1,2,13,1,0,11
2,1054,24,50,148,43,75,116,15,20,1,0,21,28,5,103
10,4,42,901,559,137,2,7,9,42,0,0,0,0,0,0
20,40,100,430,255,230,55,221,78,125,40,73,40,6,3,7
30,54,38,124,199,237,16,339,238,65,291,49,40,3,0,10
40,49,325,121,344,539,67,94,24,50,12,1,1,1,0,75
50,19,15,144,208,72,5,266,157,143,451,100,79,29,12,3
60,8,8,258,275,420,157,389,13,120,0,8,31,2,0,14
70,23,3,4,122,94,18,378,199,127,413,120,102,54,43,3
80,0,10,329,50,44,5,92,102,53,260,267,114,340,32,5
90,3,4,1,12,26,14,106,76,58,832,281,121,82,9,78
91,1,5,2,3,0,0,27,6,11,29,140,145,802,462,70
92,0,1,0,2,1,4,18,6,9,11,25,49,422,1075,80
100,0,9,4,5,3,1,5,1,3,0,13,5,272,191,1191
