nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,304,607,643,53,11,10,43,0,11,0,0,1,0,0,20
1,438,330,575,141,36,23,103,16,24,3,2,2,1,3,6
2,885,8,46,88,21,37,348,6,129,5,10,7,14,2,97
10,71,424,422,581,139,9,34,7,16,0,0,0,0,0,0
20,42,190,313,341,154,112,143,95,74,95,127,10,2,1,4
30,68,27,80,231,178,72,210,230,57,454,49,38,0,1,8
40,117,148,14,659,219,192,58,8,179,7,0,1,0,1,100
50,38,30,46,127,76,32,202,231,89,608,117,81,18,4,4
60,193,16,35,501,32,156,610,0,105,10,2,9,0,0,34
70,27,1,1,96,96,66,135,262,77,611,105,144,22,56,4
80,0,3,345,67,21,52,39,51,32,343,303,144,242,44,17
90,6,0,5,18,13,31,32,53,42,981,199,213,45,6,59
91,0,0,2,1,0,5,12,7,17,48,91,231,838,336,115
92,2,0,0,1,0,24,12,0,19,19,24,50,394,1055,103
100,2,3,7,8,1,3,4,0,6,2,4,31,170,196,1266
