nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,1658,19,12,0,0,0,0,0,7,3,0,0,0,0,4
1,1059,499,0,29,0,39,0,6,0,32,3,28,0,0,8
2,0,0,1550,0,6,56,0,0,7,0,0,0,0,0,84
10,0,0,0,1703,0,0,0,0,0,0,0,0,0,0,0
20,699,458,0,6,0,153,0,0,92,60,53,177,4,0,1
30,723,195,0,167,0,197,0,0,5,39,3,358,1,6,9
40,0,0,0,0,0,1702,0,0,0,0,0,0,0,0,1
50,524,301,0,1,0,120,0,4,6,60,30,614,34,1,8
60,1570,22,0,0,0,0,0,0,15,54,0,0,0,0,42
70,82,563,0,1,0,92,0,31,254,346,12,298,2,19,3
80,621,49,0,0,0,55,0,0,72,121,148,385,252,0,0
90,334,116,18,0,0,69,0,7,0,299,46,690,59,5,60
91,4,14,0,1,0,7,8,1,15,95,37,178,1187,67,89
92,1,2,0,0,0,16,0,0,118,14,4,101,757,464,226
100,113,13,17,0,0,81,0,0,56,0,8,72,462,161,720
