nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,575,309,694,11,11,30,35,16,0,2,0,1,0,0,19
1,373,278,733,31,30,43,121,53,0,21,4,2,1,0,13
2,898,68,84,27,13,16,410,61,0,24,0,7,9,1,85
10,82,718,678,87,42,5,31,55,0,0,0,0,0,0,5
20,278,256,455,70,55,31,112,184,0,111,101,29,6,0,15
30,309,116,184,67,23,19,207,280,0,381,49,43,3,0,22
40,91,782,266,106,123,100,28,129,0,0,0,17,0,0,61
50,196,79,137,65,18,20,225,225,0,524,91,73,22,0,28
60,282,157,492,8,119,17,270,230,0,73,0,3,9,0,43
70,276,33,58,63,21,40,113,274,0,530,83,119,68,0,25
80,90,25,381,27,5,15,31,76,0,397,285,38,331,0,2
90,116,15,28,30,9,37,53,170,0,868,179,55,99,1,43
91,12,3,5,5,0,4,14,18,0,96,177,63,1141,15,150
92,3,2,4,1,0,7,5,10,0,25,26,60,1315,99,146
100,2,10,49,9,5,3,0,4,0,1,1,13,557,56,993
