nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,190,21,1364,18,10,59,0,0,4,21,0,0,0,0,16
1,316,20,1164,53,16,64,1,0,12,41,1,8,0,2,5
2,1280,11,188,21,2,21,1,2,23,55,0,19,17,9,54
10,44,24,1547,63,4,1,0,0,10,1,0,9,0,0,0
20,250,40,928,110,8,40,3,6,29,109,39,104,19,16,2
30,434,28,530,50,19,108,2,6,15,331,46,111,6,7,10
40,435,159,818,140,2,36,0,3,15,32,0,15,2,0,46
50,379,14,365,39,12,56,5,4,12,477,38,232,21,49,0
60,713,53,464,221,11,51,5,5,67,71,0,34,5,3,0
70,371,14,293,31,10,86,1,12,14,456,78,267,38,31,1
80,126,4,468,5,2,38,0,1,0,287,135,268,127,242,0
90,141,2,141,11,4,44,3,4,22,712,25,471,61,41,21
91,14,0,14,2,0,2,0,0,3,78,190,116,425,640,219
92,8,0,4,5,0,3,0,1,7,35,44,59,148,1224,165
100,5,2,31,17,0,1,0,0,5,4,2,48,255,577,756
