nan,0.0,1.0,2.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,91.0,92.0,100.0
0,113,685,401,293,16,4,152,1,9,5,12,1,0,0,11
1,143,428,497,241,29,1,294,5,19,13,22,4,1,0,6
2,1172,49,34,91,7,2,207,1,42,14,6,3,11,12,52
10,3,756,543,185,71,0,74,20,51,0,0,0,0,0,0
20,66,393,370,79,86,0,364,16,116,31,128,48,0,5,1
30,127,177,92,74,39,0,703,13,127,93,186,58,0,2,12
40,43,725,50,57,24,1,86,13,640,11,3,0,1,0,49
50,111,86,56,62,20,0,523,16,151,135,442,70,1,30,0
60,170,223,51,179,156,0,870,1,24,21,0,1,4,1,2
70,148,33,16,33,15,1,586,20,186,130,424,107,1,0,3
80,54,34,276,98,8,0,151,6,85,82,647,163,31,66,2
90,102,15,2,10,4,3,272,7,157,154,777,102,63,19,16
91,8,0,0,3,0,1,50,1,23,7,148,225,325,866,46
92,4,2,0,1,1,0,45,0,15,6,82,67,266,1101,113
100,1,11,1,18,2,0,83,0,9,0,27,16,182,558,795
